Brand,Store Number,Store Name,Ownership Type,Street Address,City,Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude
Starbucks,24106-235604,Kota Laksamana DT,Licensed,"Plot B, Lot 2065, Pekan Klebang Seksyen IV",Melaka,Wilayah Persekutuan,MALAYSIA,,,GMT+08:00 Asia/Kuala_Lumpur,102.22,2.21
Starbucks,28343-250636,Tesco Jenjarom,Licensed,"G6, Grd Flr, Tesco Jenjarom, 1, Jln 1/1, Tmn Seri Jaromas, Jenjarom",Selangor,Selangor,MALAYSIA,,,GMT+08:00 Asia/Kuala_Lumpur,101.42,3.12
Starbucks,18456-156705,NU Sentral,Licensed,"No.201, Jalan Tun Sambathan, Lot 14&15 Concourse Floor",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,,,GMT+08:00 Asia/Kuala_Lumpur,101.69,3.13
Starbucks,18453-173544,Petronas Service Stat - Federal Hwy,Licensed,"KM 18.5, Federal Highway - KL Bound",Kuala Lumpur,Wilayah Persekutuan,MALAYSIA,,,GMT+08:00 Asia/Kuala_Lumpur,101.58,3.08
Starbucks,28255-250643,Seri Austin DT,Joint Venture,"Jalan Seri Austin 1, Taman Seri Austin",Johor Bahru,Johor,MALAYSIA,81100,,GMT+08:00 Asia/Kuala_Lumpur,103.75,1.58
Starbucks,28251-250642,Muar Bakri,Joint Venture,"Lot No. PTB 16019, Ground Floor, Jalan Bakri, Muar Johor",Muar,Johor,MALAYSIA,84000,,GMT+08:00 Asia/Kuala_Lumpur,102.6,2.05
Starbucks,49680-270768,Sunrise Tower,Joint Venture,"Sunrise Tower, 190-192 Persiaran Gurney",Penang,Pulau Pinang,MALAYSIA,10250,,GMT+08:00 Asia/Kuala_Lumpur,100.31,5.44
Starbucks,29921-255992,Sunway Pyramid 3,Joint Venture,"SP3G001,GF,Sunway Pyramid Shopping Mall3, 3, Jln PJS 11/15, Bandar Sunway",Petaling Jaya,Selangor,MALAYSIA,47500,,GMT+08:00 Asia/Kuala_Lumpur,101.59,3.07
Starbucks,29875-255627,Petronas Equine Park DT,Joint Venture,"Petronas Station Equine Park 1, Mukim Petaling, Seri Kembangan",Selangor,Selangor,MALAYSIA,43300,,GMT+08:00 Asia/Kuala_Lumpur,101.67,2.97
Starbucks,29788-255372,KSL Resort,Joint Venture,"32, Jalan Seladang, Taman Abad, Johor Bahru",Johor,Johor,MALAYSIA,80250,,GMT+08:00 Asia/Kuala_Lumpur,103.76,1.48
